제목,예상금액,예상기간,설명,마감,지원자 수,카테고리,서브카테고리,스킬,링크
솔루션 기반 수산물 온라인 입점 쇼핑몰 제작,"예상금액 15,000,000원",예상기간 45일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 온라인 (카카오톡, 화상미팅 등) 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 협의 필요 - 미팅 주기: 주 2회 예상 시작일 : - 2020년 06월 08일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진행 ...",마감 2주 전,총 6명 지원,개발 >,"커머스, 쇼핑몰","javascript, HTML5, CSS3",https://www.wishket.com/project/_90788/
경영 상태 확인 시뮬레이터 웹 프로그램 개발,"예상금액 25,000,000원",예상기간 90일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 : - 미팅 방식: 온라인 (카카오톡, 화상미팅 등) - 미팅 주기: 필요시 요청 <프로젝트의 현재 상황> 프로젝트 진행 분류 : - 신규 프로젝트를 진행하려 합니다. 기획 상태 : - 필요한 내용들을 간단히 정리해두었습니다. 상세 기획 상태 : - 제안요청서 프로젝트 인력 상 ...",마감 2주 전,총 7명 지원,개발 >,애플리케이션,"HTML5, javascript, SERVER",https://www.wishket.com/project/_90806/
협회 반응형 홈페이지 및 회원사 전용 시스템 구축,"예상금액 30,000,000원",예상기간 100일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 클라이언트 사무실 - 미팅 주기: 주 1회 예상 시작일 : - 2020년 05월 26일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 : - 신규 프로젝트를 진행하려 합니다. ...",마감 1주 6일 전,총 17명 지원,개발 >,웹,"Photoshop, HTML5, javascript",https://www.wishket.com/project/_90765/
소비 솔루션 서비스 프론트엔드 리뉴얼 개발,"예상금액 2,300,000원",예상기간 21일,"<프로젝트 진행 방식> 사전 미팅 방식 온라인 (카카오톡, 화상미팅 등) 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 협의 필요 - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 06월 15일 <프로젝트의 현재 상황> 기획 상태 : - 상세한 기획 문서가 존재합니다. 상세 기획 상태 : - 기획 및 디자인 - 퍼블리싱 결과물 ...",마감 1주 6일 전,총 3명 지원,개발 >,웹,"JSP, javascript, Java",https://www.wishket.com/project/_90748/
B2B 온라인 경매 사이트 제작,"예상금액 24,000,000원",예상기간 60일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 협의 필요 - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 06월 01일 정부지원을 받아 진행되는 프로젝트로 아래 조건이 모두 가능한 파트너와 계약이 가능합니다. 1) IT 관련 업종, 업력 1년 이상의 개인 사업자 또는 법인 사업자 2 ...",마감 1주 6일 전,총 12명 지원,개발 >,웹,"기획, Photoshop, HTML5",https://www.wishket.com/project/_90743/
블록체인을 활용한 교육 플랫폼 dapp 제작,"예상금액 70,000,000원",예상기간 180일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 온라인 (카카오톡, 화상미팅 등) - 미팅 주기: 주 1회 예상 시작일 : - 2020년 06월 10일 <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진행하려 합니다. 기획 상태 : - 아이디어만 있습니다. - 기존에 개발한 앱이 있으나 dap ...",마감 1주 6일 전,총 7명 지원,개발 >,애플리케이션,"기획, Photoshop, Android",https://www.wishket.com/project/_90757/
마사지 정보 제공 웹 서비스 제작,"예상금액 5,000,000원",예상기간 30일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 협의 필요 - 미팅 주기: 주 2회 예상 시작일 : - 2020년 05월 30일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진행하려 합니다. 기획 상태 ...",마감 1주 6일 전,총 8명 지원,개발 >,웹,"Photoshop, HTML5, javascript",https://www.wishket.com/project/_90779/
오픈마켓 API 연동 업로드 프로그램 개발,"예상금액 1,500,000원",예상기간 15일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 온라인 (카카오톡, 화상미팅 등) - 미팅 주기: 주 1회 예상 시작일 : - 2020년 05월 25일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진행하려 합니다. 기획 상태 : ...",마감 1주 5일 전,총 1명 지원,개발 >,일반 소프트웨어,"HTML5, javascript",https://www.wishket.com/project/_90747/
통합관리 대시보드 퍼블리싱 및 프론트 개발,"예상금액 45,000,000원",예상기간 270일,"[ 본 프로젝트는 클라이언트가 위시켓 이용요금을 부담합니다. ] [ 발주사와 클라이언트와의 계약이 완료된 상태입니다. ] <프로젝트 진행 방식> 고객사 사무실에서 상주하여 근무가 가능한 개발자 1명, 퍼블리셔 1명을 모집하고 있습니다. - 근무 방식 : 주 5일 출근(상주) - 프로젝트 대금 지급 : 월 단위 지급 모집 인원 : 2명(퍼블리셔 1명, 프론트 ...",마감 1주 3일 전,총 3명 지원,개발 >,웹,"javascript, HTML5, CSS3",https://www.wishket.com/project/_90713/
부품 및 장비 수발주 관리 ERP 시스템 구축,"예상금액 30,000,000원",예상기간 90일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 클라이언트 사무실 - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 05월 25일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진행하려 합니다. ...",마감 1주 3일 전,총 20명 지원,개발 >,웹,"Java, spring, mariadb",https://www.wishket.com/project/_90721/
회원제 펫케어 서비스 하이브리드 앱 또는 네이티브 앱 개발,"예상금액 10,000,000원",예상기간 60일,<프로젝트 진행 방식> 사전 미팅 방식 오프라인 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 클라이언트 사무실 - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 06월 01일 <프로젝트의 현재 상황> 프로젝트 진행 분류 - 운영 중인 서비스의 리뉴얼 또는 유지보수를 하려 합니다. 상세 기획 상태 - 기 개발된 PC 및 Mobi ...,마감 1주 3일 전,총 9명 지원,개발 >,애플리케이션,"HTML5, CSS3, javascript",https://www.wishket.com/project/_90733/
React 기반 백오피스 프로그램 프론트 개발,"예상금액 12,000,000원",예상기간 90일,[ 본 프로젝트는 클라이언트가 위시켓 이용요금을 부담합니다. ] [ 클라이언트가 직접 발주한 프로젝트입니다. ] <프로젝트 진행 방식> 자사 사무실에서 상주하여 근무가 가능한 개발자 4명을 모집하고 있습니다. - 근무 방식 : 주 5일 출근(상주) - 프로젝트 대금 지급 : 월 단위 지급 모집 인원 : 4명 - 3~4년 : 4명 (월 400만 원) 경력/이 ...,마감 1주 3일 전,지원자 없음,개발 >,웹,"react, javascript",https://www.wishket.com/project/_90741/
건강관리 IOT 스마트 스푼 애플리케이션 개발,"예상금액 15,000,000원",예상기간 60일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 클라이언트 사무실 - 미팅 주기: 필요시 요청 예상 시작일 - 2020년 05월 25일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진행하려 합니다. 기획 ...",마감 1주 3일 전,총 7명 지원,개발 >,애플리케이션,"Photoshop, Android, Java",https://www.wishket.com/project/_90746/
워드프레스 기반 코스메틱 브랜드 홈페이지 제작,"예상금액 1,000,000원",예상기간 10일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 : - 미팅 방식: 온라인 (카카오톡, 화상 미팅 등) - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 05월 25일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진행하려 합니다. 프로 ...",마감 1주 3일 전,총 5명 지원,개발 >,워드프레스,"Photoshop, HTML5, CSS3",https://www.wishket.com/project/_90783/
건강관리 솔루션 Android 앱 제작,"예상금액 30,000,000원",예상기간 90일,<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 클라이언트 사무실 - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 06월 01일 - 일정은 협의 가능합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진행하려 합니다. 프로젝트 상태 : - 프로젝트를 계 ...,마감 1주 2일 전,총 21명 지원,개발 >,애플리케이션,"Photoshop, Android, HTML5",https://www.wishket.com/project/_90676/
인터넷 기반 BIT 시스템 반응형 웹 퍼블리싱,"예상금액 8,800,000원",예상기간 60일,[ 본 프로젝트는 클라이언트가 위시켓 이용요금을 부담합니다. ] [ 발주사와 클라이언트와의 계약이 완료된 상태입니다. ] <프로젝트 진행 방식> 개발 사무실에서 상주하여 근무가 가능한 퍼블리셔 1명을 모집하고 있습니다. - 근무 방식 : 주 5일 출근(상주) - 프로젝트 대금 지급 : 월 단위 지급 모집 인원 : 1명 - 5~9년 : 1명 (월 440만 원 ...,마감 1주 2일 전,총 2명 지원,개발 >,퍼블리싱,"HTML5, CSS3, javascript",https://www.wishket.com/project/_90688/
핸드폰 케이스 주문 제작 웹 사이트 개발,"예상금액 10,000,000원",예상기간 30일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 온라인 (카카오톡, 화상미팅 등) 진행 중 미팅 - 미팅 방식: 온라인 (카카오톡, 화상미팅 등) - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 05월 21일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진 ...",마감 1주 2일 전,총 18명 지원,개발 >,웹,"Photoshop, HTML5, CSS3",https://www.wishket.com/project/_90686/
웨딩 식전영상 자동 제작 웹 프로그램 개발,"예상금액 5,000,000원",예상기간 30일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 온라인 (카카오톡, 화상미팅 등) - 오프라인 진행 중 미팅 - 미팅 방식: 온라인 (카카오톡, 화상미팅 등) - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 05월 27일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 ...",마감 1주 2일 전,총 3명 지원,개발 >,웹,"HTML5, CSS3, javascript",https://www.wishket.com/project/_90703/
전자정부프레임워크 기반 기업 정보 제공 웹 개발,"예상금액 12,000,000원",예상기간 60일,[ 본 프로젝트는 클라이언트가 위시켓 이용요금을 부담합니다. ] [ 발주사와 클라이언트와의 계약이 완료된 상태입니다. ] <프로젝트 진행 방식> 고객사 사무실에서 상주하여 근무가 가능한 개발자 2명을 모집하고 있습니다. - 근무 방식 : 주 5일 출근(상주) - 프로젝트 대금 지급 : 월 단위 지급 모집 인원 : 2명 - 경력무관 : 2명 (월 600만 원 ...,마감 1주 2일 전,총 2명 지원,개발 >,웹,"Java, JSP, spring",https://www.wishket.com/project/_90709/
스토브 신규 서비스 UI 마크업 개발,"예상금액 18,000,000원",예상기간 90일,[ 본 프로젝트는 클라이언트가 위시켓 이용요금을 부담합니다. ] [ 클라이언트가 직접 발주한 프로젝트입니다. ] <프로젝트 진행 방식> 자사 사무실에서 상주하여 근무가 가능한 퍼블리셔 1명을 모집하고 있습니다. - 근무 방식 : 주 5일 출근(상주) - 프로젝트 대금 지급 : 월 단위 지급 모집 인원 : 1명 - 경력무관 : 1명 (월 600만 원) 경력/ ...,마감 1주 2일 전,총 7명 지원,개발 >,웹,"HTML5, javascript, CSS3",https://www.wishket.com/project/_90728/
회사 홈페이지 리뉴얼 구축,"예상금액 19,000,000원",예상기간 60일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 : - 미팅 방식: 오프라인 - 미팅 위치: 클라이언트 사무실 - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 06월 01일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 : - 운영 중인 서비스의 리뉴얼 ...",마감 1주 1일 전,총 37명 지원,개발 >,웹,"반응형웹, Photoshop, illustrator",https://www.wishket.com/project/_90666/
O2O 수공예 중개 반응형 웹 플랫폼 제작,"예상금액 40,000,000원",예상기간 90일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 온라인 (카카오톡, 화상 미팅 등) 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 협의 필요 - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 05월 31일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 ...",마감 1주 1일 전,총 38명 지원,개발 >,웹,"기획, Photoshop, HTML5",https://www.wishket.com/project/_90631/
워드프레스 기반 해외 유료 멤버쉽 콘텐츠 사이트 제작,"예상금액 9,000,000원",예상기간 21일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 온라인 (카카오톡, 화상 미팅 등) 진행 중 미팅 - 미팅 방식: 온라인 (카카오톡, 화상 미팅 등) - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 05월 06일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 ...",마감 1주 전,총 2명 지원,개발 >,웹,"Photoshop, HTML5, javascript",https://www.wishket.com/project/_90634/
쇼핑몰 솔루션 기반 커머스/브랜드 사이트 리뉴얼 개발,"예상금액 3,000,000원",예상기간 30일,<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 협의 필요 - 미팅 주기: 필요시 요청 <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진행하려 합니다. 기획 상태 : - 필요한 내용들을 간단히 정리해두었습니다. 상세 기획 상태 : - 디자인은 내부 인력이 진행합니다. ...,마감 6일 4시간 전,총 5명 지원,개발 >,"커머스, 쇼핑몰","HTML5, CSS3, javascript",https://www.wishket.com/project/_90798/
Java 기반 B2C 미디어 교육 매칭 웹 개발,"예상금액 12,000,000원",예상기간 40일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 : - 미팅 방식: 오프라인 - 미팅 위치: 클라이언트 사무실 - 미팅 주기: 주 1회 예상 시작일 : - 2020년 05월 18일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 : - 신규 프로젝트를 진행하려 합니다 ...",마감 3일 4시간 전,총 10명 지원,개발 >,웹,"HTML5, javascript, Java",https://www.wishket.com/project/_90719/
온라인 멘토 매칭 반응형웹 디자인 및 개발,"예상금액 18,000,000원",예상기간 45일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 : - 미팅 방식: 오프라인 - 미팅 위치: 클라이언트 사무실 - 미팅 주기: 주 1회 예상 시작일 : - 2020년 05월 18일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 : - 신규 프로젝트를 진행하려 합니다 ...",마감 3일 4시간 전,총 6명 지원,개발 >,웹,"html, css, javascript",https://www.wishket.com/project/_90681/
연구기관 연합 반응형 웹사이트 구축,"예상금액 10,000,000원",예상기간 20일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 온라인 (카카오톡, 화상미팅 등) 진행 중 미팅 : - 미팅 방식: 온라인 (카카오톡, 화상미팅 등) - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 05월 18일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. 일정 : 업무 착수일부터 30일 내 버그 수정/안정화/인수인계까지 마무리 ...",마감 3일 4시간 전,총 5명 지원,개발 >,웹,"MySQL, Php, Html",https://www.wishket.com/project/_90795/
뷰티 관련 플랫폼 웹 및 모바일 앱 개발,"예상금액 30,000,000원",예상기간 90일,<프로젝트 진행 방식> 자사 사무실에서 상주하여 근무를 요청드립니다. - 근무 방식 : 주 5일 출근(상주) - 근무 위치 : 부산광역시 남구 자사 사무실 원활한 커뮤니케이션 및 작업 진행을 위해 상주 근무를 요청드립니다. <프로젝트의 현재 상황> 프로젝트 상태 : - 프로젝트를 착수하기 위한 준비 중입니다. 프로젝트 현재 상황 : - 현재 프로 ...,마감 3일 4시간 전,총 2명 지원,개발 >,웹,"javascript, SERVER, jQuery",https://www.wishket.com/project/_90583/
솔루션 기반 로또 숫자 제공 반응형 웹사이트 제작,"예상금액 3,500,000원",예상기간 21일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 온라인 (카카오톡, 화상미팅 등) - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 05월 18일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진행하려 합니다. 기획 상태 ...",마감 3일 4시간 전,총 9명 지원,개발 >,웹,"기획, HTML, CSS3",https://www.wishket.com/project/_90604/
해외 골프장 다이렉트 부킹 앱/웹 개발,"예상금액 20,000,000원",예상기간 60일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 온라인 (카카오톡, 화상미팅 등) 진행 중 미팅 - 미팅 방식: 온라인 (카카오톡, 화상미팅 등) - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 05월 11일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진 ...",마감 3일 4시간 전,총 18명 지원,개발 >,웹,"기획, Photoshop, HTML5",https://www.wishket.com/project/_90597/
스포츠 대회 대진표 유지보수 및 기능 리뉴얼 개발,"예상금액 10,000,000원",예상기간 60일,[ 본 프로젝트는 클라이언트가 위시켓 이용요금을 부담합니다. ] [ 클라이언트가 직접 발주한 프로젝트입니다. ] <프로젝트 진행 방식> 자사 사무실에서 상주하여 근무가 가능한 개발자 1명을 모집하고 있습니다. - 근무 방식 : 주 5일 출근(상주) - 프로젝트 대금 지급 : 월 단위 지급 모집 인원 : 1명 - 경력무관 : 1명 (월 500만 원) 경력/이 ...,마감 2일 4시간 전,총 2명 지원,개발 >,웹,"HTML5, CSS3, javascript",https://www.wishket.com/project/_90582/
B2C 부부관계 솔루션 플랫폼 제작,"예상금액 20,000,000원",예상기간 60일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 협의 필요 - 미팅 주기: 주 1회 예상 시작일 : - 2020년 05월 21일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. 정부지원을 받아 진행되는 프로젝트로 아래 조건이 모두 가능한 파트너와 계약이 가능합니다. 1) 개인 사업 ...",마감 2일 4시간 전,총 22명 지원,개발 >,웹,"기획, Photoshop, HTML5",https://www.wishket.com/project/_90577/
슈퍼마켓 식료품 모바일 주문 배달 서비스 개발,"예상금액 13,500,000원",예상기간 90일,[ 본 프로젝트는 클라이언트가 위시켓 이용요금을 부담합니다. ] [ 클라이언트가 직접 발주한 프로젝트입니다. ] <프로젝트 진행 방식> 자사 사무실에서 상주하여 근무가 가능한 개발자 2명을 모집하고 있습니다. - 근무 방식 : 주 5일 출근(상주) - 프로젝트 대금 지급 : 월 단위 지급 모집 인원 : 2명 - 경력무관 : 2명 (월 450만 원) 경력/이 ...,마감 1일 4시간 전,지원자 없음,개발 >,웹,"javascript, PHP, Java",https://www.wishket.com/project/_90567/
메타 서비스를 위한 쇼핑몰 크롤링,"예상금액 5,000,000원",예상기간 60일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 : - 미팅 방식: 오프라인 - 미팅 위치: 클라이언트 사무실 - 미팅 주기: 주 1회 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 : - 신규 프로젝트를 진행하려 합니다. 기획 상태 : - 상세한 기획 문서가 존재 ...",마감 1일 4시간 전,총 4명 지원,개발 >,웹,"javascript, Python",https://www.wishket.com/project/_90677/
생활속 거리두기 개인별 위생 항목 체크 웹앱 개발,"예상금액 2,000,000원",예상기간 7일,<프로젝트 진행 방식> 자사 사무실에서 상주하여 근무를 요청드립니다. - 근무 방식 : 주 5일 출근(상주) - 근무 위치 : 인천광역시 남동구 구월동 보안상 소스 외부 반출이 어려워 상주 근무를 요청드립니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진행하려 합니다. 프로젝트 상태 : - 프로젝트를 계획하는 중입니다. 프 ...,마감 1일 4시간 전,지원자 없음,개발 >,애플리케이션,"Android, HTML5, javascript",https://www.wishket.com/project/_90682/
스마트팜 시각화 PC/MO 웹 대시보드 구축,"예상금액 20,000,000원",예상기간 60일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 : - 미팅 방식: 오프라인 - 미팅 위치: 클라이언트 사무실 - 미팅 주기: 주 1회 예상 시작일 : - 2020년 05월 13일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 : - 운영 중인 서비스의 리뉴얼 또는 ...",마감 1일 4시간 전,총 17명 지원,개발 >,웹,"Python, MongoDB, 기획",https://www.wishket.com/project/_90551/
분석 서비스 PC 웹 퍼블리싱 및 프론트 개발,"예상금액 12,000,000원",예상기간 90일,<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 : - 미팅 방식: 오프라인 - 미팅 위치: 클라이언트 사무실 - 미팅 주기: 주 1회 예상 시작일 : - 2020년 05월 25일 <프로젝트의 현재 상황> 프로젝트 진행 분류 : - 신규 프로젝트를 진행하려 합니다. 기획 상태 : - 백단과 디자인은 작업 중이지만 기획문서는 ...,마감 4시간 46분 전,총 15명 지원,개발 >,웹,"HTML5, javascript, react",https://www.wishket.com/project/_90497/
ReactNative 기반 배달 O2O 서비스 모바일 앱 개발,"예상금액 15,000,000원",예상기간 90일,[ 본 프로젝트는 클라이언트가 위시켓 이용요금을 부담합니다. ] [ 발주사와 클라이언트와의 계약이 완료된 상태입니다. ] <프로젝트 진행 방식> 고객사 사무실에서 상주하여 근무가 가능한 개발자 2명을 모집하고 있습니다. - 근무 방식 : 주 5일 출근(상주) - 프로젝트 대금 지급 : 월 단위 지급 모집 인원 : 2명 - 경력무관 : 2명 (월 500만 원 ...,마감 4시간 46분 전,총 2명 지원,개발 >,애플리케이션,"reactnative, javascript",https://www.wishket.com/project/_90472/
웹 기반 스마트팩토리 설비 예지보전 솔루션 고도화,"예상금액 20,000,000원",예상기간 90일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 : - 미팅 방식: 오프라인 - 미팅 위치: 협의 필요 - 미팅 주기: 주 1회 예상 시작일 : - 2020년 06월 01일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 : - 운영 중인 서비 ...",마감 4시간 46분 전,총 15명 지원,개발 >,웹,"Photoshop, illustrator, HTML5",https://www.wishket.com/project/_90510/
공간대여 Native 앱플랫폼 기능 및 레이아웃 개선,"예상금액 3,000,000원",예상기간 30일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 온라인 (카카오톡, 화상미팅 등) 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 협의 필요 - 미팅 주기: 필요시 요청 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 운영 중인 서비스의 리뉴얼 또는 유지보수를 하려 합니다. 기획 ...",마감 4시간 46분 전,총 2명 지원,개발 >,웹,"Android, Java, iOS",https://www.wishket.com/project/_90511/
예약 기능 프런트엔드 및 백엔드 개발,"예상금액 5,000,000원",예상기간 15일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 : - 미팅 방식: 온라인 (카카오톡, 화상미팅 등) - 미팅 주기: 필요시 요청 예상 시작일 : 2020년 05월 18일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 : - 운영 중인 서비스의 리뉴얼 또는 유지보수 ...",마감 4시간 46분 전,총 9명 지원,개발 >,웹,"javascript, Node.js, react",https://www.wishket.com/project/_90617/
